Notice Number,Ticket Number,Issue Date,Violation Location,Zip Code,Violation Code,Violation Description,Unit,Unit Description,Officer,Vehicle Make,License Plate Type,Fine Level 1 Amount,Fine Level 2 Amount,Current Amount Due,Total Payments,Ticket Queue,Ticket Queue Date,Notice Level,Hearing Dispo,Hearing Reason
5201586250,7009321333,1/1/21 0:00,4200 S CICERO AVENUE,606234332,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5234871820,7009321352,1/1/21 0:00,1600 W 87TH ST,606331323,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,200,Paid,4/5/2021,FINL,,
5228076530,72156572,1/1/21 0:01,547 S COLUMBUS,606591649,0964080B,NO STANDING/PARKING TIME RESTRICTED,1,CPD,7861,BMW,PAS,100,200,0,100,Paid,1/21/2021,VIOL,,
5233269710,7009325236,1/1/21 0:01,1 S WESTERN AVE,60623,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5219674400,7009321372,1/1/21 0:01,6700 S CORNELL DRIVE,606373598,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5199289380,7009321329,1/1/21 0:02,4400 W OGDEN AVENUE,60651,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5225329540,7009321376,1/1/21 0:02,300 S MICHIGAN AVE,604114539,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,3/20/2021,DETR,,
5212146160,7009323424,1/1/21 0:02,6300 S KEDZIE AVE,606094282,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,2/7/2021,VIOL,,
5235227160,7009340321,1/1/21 0:03,8700 S LAFAYETTE AVEN,60619,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,2/1/2021,FINL,,
5210709690,7009321419,1/1/21 0:06,400 S WESTERN AVENUE,601531403,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5231657240,7009321728,1/1/21 0:07,1600 W 87TH ST,60620,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5146642870,72156573,1/1/21 0:08,355 S COLUMBUS,605231607,0964080B,NO STANDING/PARKING TIME RESTRICTED,1,CPD,7861,LEXU,PAS,100,200,0,100,Paid,2/21/2021,DETR,,
5182305720,7009321379,1/1/21 0:08,4000 W FOSTER AVE,600904517,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,2/12/2021,VIOL,,
5234898530,7009323431,1/1/21 0:09,2800 N CALIFORNIA AVE,604311528,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,2/20/2021,VIOL,,
5234898570,7009323444,1/1/21 0:09,4000 W NORTH AVENUE,60651,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5232016660,71742149,1/1/21 0:10,3228 N NAGLE,606293418,0964100C,BLOCK ACCESS/ALLEY/DRIVEWAY/FIRELANE,16,CPD,3051,TOYT,PAS,150,300,0,150,Paid,1/22/2021,VIOL,,
5230434020,7009323426,1/1/21 0:10,800 W 119TH STREET,463076267,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
0,71627237,1/1/21 0:12,1542 W BIRCHWOOD,,0964100A,WITHIN 15' OF FIRE HYDRANT,24,CPD,7540,CHEV,TMP,150,300,150,0,Define,1/11/2021,,,
5235085950,7009321410,1/1/21 0:13,100 W CHICAGO AVENUE,78240,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,200,Paid,5/10/2021,FINL,,
5235022390,7009321378,1/1/21 0:14,5930 N CLARK STREET,432302542,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,2/11/2021,VIOL,,
5183885050,7009321744,1/1/21 0:14,2400 N ASHLAND AVENUE,601758147,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,2/15/2021,VIOL,,
5234863210,7009321363,1/1/21 0:15,30 W 87TH STREET,37166,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/27/2021,FINL,,
5150213160,71746964,1/1/21 0:15,25 W HUBBARD,606321725,0964080B,NO STANDING/PARKING TIME RESTRICTED,495,Miscellaneous,494,HYUN,PAS,100,200,200,0,Notice,2/11/2021,FINL,,
5232386800,72154451,1/1/21 0:16,79 E 8TH ST,609012772,0964150B,PARKING/STANDING PROHIBITED ANYTIME,1,CPD,9463,VOLK,PAS,75,150,150,0,Notice,1/14/2021,SEIZ,,
5234871810,7009321339,1/1/21 0:17,200 W GARFIELD BLVD,60637,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5174922000,7009321351,1/1/21 0:21,800 W 99TH ST,60649,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,6/9/2021,DETR,,
5234871800,7009321334,1/1/21 0:21,4200 S CICERO AVENUE,470608002,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,0,Dismissed,2/18/2021,VIOL,Not Liable,Citizen was Not Owner or Lessee of Cited Vehicle
5232703710,7009321405,1/1/21 0:22,300 N HAMLIN AVENUE,60104,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
0,71748856,1/1/21 0:22,453 N MCCLURG,,0964080B,NO STANDING/PARKING TIME RESTRICTED,495,Miscellaneous,371,MAZD,HCP,100,200,100,0,Define,2/8/2021,,,
5234915360,7009325238,1/1/21 0:23,3500 S WESTERN,60020,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5209732300,7009321738,1/1/21 0:24,2400 W MARQUETTE ROAD,605162270,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5234958860,7009323433,1/1/21 0:25,4000 N PULASKI ROAD,60707,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5234871840,7009321373,1/1/21 0:25,6700 S CORNELL DRIVE,60827,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,TMP,100,200,100,0,Court,2/25/2021,DETR,,
5234957950,7009321365,1/1/21 0:25,7600 S STONY ISLAND A,61832,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5234884190,7009321737,1/1/21 0:25,7600 S STONY ISLAND A,60643,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5234898520,7009323423,1/1/21 0:26,7100 S KEDZIE AVENUE,611153218,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,4/9/2021,FINL,,
5235458090,71748876,1/1/21 0:27,58 E HUBBARD,604091730,0964080B,NO STANDING/PARKING TIME RESTRICTED,495,Miscellaneous,375,CHEV,PAS,100,200,0,100,Paid,3/11/2021,VIOL,,
5234915350,7009325226,1/1/21 0:27,3200 W 63RD ST,60804,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5234884180,7009321734,1/1/21 0:32,9500 S HALSTED STREET,604192968,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5234871880,7009321386,1/1/21 0:34,400 W BELMONT AVE,601313245,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,1/23/2021,VIOL,,
